"family","year","observations"
"Hesperiidae",2000,18
"Hesperiidae",2001,28
"Hesperiidae",2002,54
"Hesperiidae",2003,146
"Hesperiidae",2004,209
"Hesperiidae",2005,169
"Hesperiidae",2006,294
"Hesperiidae",2007,427
"Hesperiidae",2008,403
"Hesperiidae",2009,528
"Hesperiidae",2010,824
"Hesperiidae",2011,812
"Hesperiidae",2012,1380
"Hesperiidae",2013,2133
"Hesperiidae",2014,2538
"Hesperiidae",2015,4304
"Hesperiidae",2016,7552
"Hesperiidae",2017,11964
"Hesperiidae",2018,16762
"Hesperiidae",2019,26185
"Hesperiidae",2020,42801
"Hesperiidae",2021,29960
"Lycaenidae",2000,10
"Lycaenidae",2001,15
"Lycaenidae",2002,39
"Lycaenidae",2003,86
"Lycaenidae",2004,149
"Lycaenidae",2005,146
"Lycaenidae",2006,182
"Lycaenidae",2007,251
"Lycaenidae",2008,247
"Lycaenidae",2009,322
"Lycaenidae",2010,389
"Lycaenidae",2011,511
"Lycaenidae",2012,713
"Lycaenidae",2013,1174
"Lycaenidae",2014,1532
"Lycaenidae",2015,2325
"Lycaenidae",2016,4180
"Lycaenidae",2017,6576
"Lycaenidae",2018,8528
"Lycaenidae",2019,12748
"Lycaenidae",2020,21791
"Lycaenidae",2021,19507
"Nymphalidae",2000,69
"Nymphalidae",2001,92
"Nymphalidae",2002,117
"Nymphalidae",2003,314
"Nymphalidae",2004,338
"Nymphalidae",2005,508
"Nymphalidae",2006,653
"Nymphalidae",2007,936
"Nymphalidae",2008,884
"Nymphalidae",2009,1096
"Nymphalidae",2010,1773
"Nymphalidae",2011,1756
"Nymphalidae",2012,3440
"Nymphalidae",2013,4011
"Nymphalidae",2014,5827
"Nymphalidae",2015,9725
"Nymphalidae",2016,18700
"Nymphalidae",2017,32053
"Nymphalidae",2018,46108
"Nymphalidae",2019,84384
"Nymphalidae",2020,106333
"Nymphalidae",2021,85209
"Papilionidae",2000,17
"Papilionidae",2001,22
"Papilionidae",2002,30
"Papilionidae",2003,75
"Papilionidae",2004,83
"Papilionidae",2005,110
"Papilionidae",2006,178
"Papilionidae",2007,220
"Papilionidae",2008,223
"Papilionidae",2009,245
"Papilionidae",2010,458
"Papilionidae",2011,475
"Papilionidae",2012,760
"Papilionidae",2013,1087
"Papilionidae",2014,1246
"Papilionidae",2015,1881
"Papilionidae",2016,4092
"Papilionidae",2017,6509
"Papilionidae",2018,9693
"Papilionidae",2019,21049
"Papilionidae",2020,30739
"Papilionidae",2021,26925
"Pieridae",2000,7
"Pieridae",2001,11
"Pieridae",2002,14
"Pieridae",2003,51
"Pieridae",2004,87
"Pieridae",2005,74
"Pieridae",2006,89
"Pieridae",2007,164
"Pieridae",2008,148
"Pieridae",2009,193
"Pieridae",2010,341
"Pieridae",2011,326
"Pieridae",2012,658
"Pieridae",2013,1069
"Pieridae",2014,1140
"Pieridae",2015,1796
"Pieridae",2016,4113
"Pieridae",2017,5596
"Pieridae",2018,8457
"Pieridae",2019,13235
"Pieridae",2020,20723
"Pieridae",2021,13015
"Riodinidae",2003,1
"Riodinidae",2010,4
"Riodinidae",2011,2
"Riodinidae",2013,1
"Riodinidae",2014,2
"Riodinidae",2015,5
"Riodinidae",2016,12
"Riodinidae",2017,6
"Riodinidae",2018,20
"Riodinidae",2019,18
"Riodinidae",2020,15
"Riodinidae",2021,10
