gbif_species,ebut_species,naba_species,Overwintering_stage
Limenitis arthemis,Limenitis arthemis,Limenitis arthemis,RL
Papilio glaucus,Papilio glaucus,Papilio glaucus,RP
Papilio troilus, ,Papilio troilus,RP
Epargyreus clarus, ,Epargyreus clarus,RP
Pieris rapae, ,Pieris rapae,RP
Chlosyne nycteis, ,Chlosyne nycteis,RL
Asterocampa clyton, ,Asterocampa clyton,RL
Phyciodes cocyta,Phyciodes cocyta,Phyciodes selenis,RL
Phyciodes tharos, ,Phyciodes tharos,RL
Elkalyce comyntas,Cupido comyntas,Everes comyntas,RL
Euptychia cymela,Megisto cymela,Megisto cymela,RL
Limenitis archippus, ,Limenitis archippus,RL
Lethe anthedon, ,Enodia anthedon,RL
Euphyes vestris, ,Euphyes vestris,RL
Thymelicus lineola, ,Thymelicus lineola,RE
Speyeria cybele, ,Speyeria cybele,RL
Harkenclenus titus,Satyrium titus,Satyrium titus,RE
Oeneis polyxenes,Papilio polyxenes,Papilio polyxenes?,RP
Enodia portlandia,Lethe portlandia,Enodia portlandia,RL
Asterocampa celtis, ,Asterocampa celtis,RL
Battus philenor, ,Battus philenor,RP
Strymon melinus, ,Strymon melinus,RP
Colias eurytheme, ,Colias eurytheme,RL
Ancyloxypha numitor, ,Ancyloxypha numitor,RL
Panoquina panoquin, ,Panoquina panoquin,RL
Lethe appalachia, ,Enodia appalachia,RL
Polyommatus icarus, ,Polyommatus icarus,RL
Protographium marcellus,Eurytides marcellus,Eurytides marcellus,RP
Colias philodice, ,Colias philodice,RL
Papilio canadensis, ,Papilio canadensis,RP
Lycaena phlaeas, ,Lycaena phlaeas,RL
Pieris oleracea, ,Pieris napi,RP
Erynnis icelus, ,Erynnis icelus,RL
Papilio cresphontes, ,Papilio cresphontes,RP
Poanes massasoit, ,Poanes massasoit,RL
Thorybes pylades, ,Thorybes pylades,RL
Satyrium calanus, ,Satyrium calanus,RE
Cercyonis pegala, ,Cercyonis pegala,RL
Euchloe olympia, ,Euchloe olympia,RP
Erynnis baptisiae, ,Erynnis baptisiae,RL
Cyaniris neglecta,Celastrina neglecta,Celastrina ladon,RP
Calycopis cecrops, ,Calycopis cecrops,RL
Speyeria aphrodite, ,Speyeria aphrodite,RL
Euphydryas phaeton, ,Euphydryas phaeton,RL
Celastrina lucia, ,Celastrina ladon,RP
Erynnis juvenalis, ,Erynnis juvenalis,RL
Erynnis horatius, ,Erynnis horatius,RL
Satyrium edwardsii, ,Satyrium edwardsii,RE
Satyrium liparops, ,Satyrium liparops,RE
Pholisora catullus, ,Pholisora catullus,RL
Mitoura gryneus,Callophrys grynea(us),Callophrys gryneus,RP
Callophrys niphon, ,Callophrys niphon,RP
Polites mystic, ,Polites mystic,RL
Wallengrenia egeremet, ,Wallengrenia egeremet,RL
Polites themistocles, ,Polites themistocles,RP
Papilio appalachiensis, ,Papilio glaucus,RP
Cyllopsis gemma, ,Cyllopsis gemma,RL
Atrytonopsis hianna, ,Atrytonopsis hianna,RL
Glaucopsyche lygdamus, ,Glaucopsyche lygdamus,RP
Celastrina ladon, ,Celastrina ladon,RP
Boloria bellona, ,Boloria bellona,RL
Hesperia sassacus, ,Hesperia sassacus,RL
Polites origenes, ,Polites origenes,RL
Pieris virginiensis, ,Pieris virginiensis,RP
Fixsenia favonius,Satyrium favonius,Satyrium favonius,RE
Euphyes conspicua, ,Euphyes conspicua,RL
Lerema accius, ,Lerema accius,RP
Deciduphagus augustinus,Callophrys augustinus,Callophrys augustinus,RP
Thecla irus, ,Callophrys irus,RP
Anthocharis midea, ,Anthocharis midea,RP
Mastor vialis,Amblyscirtes vialis,Amblyscirtes vialis,RL
Oeneis chryxus,Oeneis calais,Oeneis chryxus,RL
Lethe eurydice, ,Satyrodes eurydice,RL
Thorybes bathyllus, ,Thorybes bathyllus,RL
Poanes viator, ,Poanes viator,RL
Chlosyne harrisii, ,Chlosyne harrisii,RL
Speyeria idalia, ,Speyeria idalia,RL
Clossiana chariclea, ,Boloria chariclea,RL
Atrytone logan,Anatrytone logan,Anatrytone logan,RL
Euphyes dion, ,Euphyes dion,RL
Incisalia henrici,Callophrys henrici,Callophrys henrici,RP
Lethe creola, ,Enodia creola,RL
Speyeria atlantis, ,Speyeria atlantis,RL
Celastrina neglectamajor, ,Celastrina neglectamajor,RP
Oeneis jutta,Oeneis balderi,Oeneis jutta,RL
Problema bulenta, ,Problema bulenta,RL
Colias interior, ,Colias interior,RL
Heodes phlaeas, ,Lycaena phlaeas,RL
Atlides halesus, ,Atlides halesus,RP
Incisalia eryphon,Callophrys eryphon,Callophrys eryphon,RP
Mastor hegon,Amblyscirtes hegon,Amblyscirtes hegon,RL
Papilio brevicauda, ,Papilio brevicauda,RP
Satyrium caryaevorus, ,Satyrium caryaevorus,RE
Boloria selene,Boloria myrina,Boloria selene,RL
Chlosyne gorgone, ,Chlosyne gorgone,RL
Staphylus hayhurstii, ,Staphylus hayhurstii,RL
Hesperia leonardus, ,Hesperia leonardus,RL
Euphyes dukesi, ,Euphyes dukesi,RL
Erynnis lucilius, ,Erynnis lucilius,RL
Hesperia comma,Hesperia manitoba,Hesperia comma,RE
Neonympha mitchellii, ,Neonympha mitchellii,RL
Erynnis brizo, ,Erynnis brizo,RL
Euphyes bimacula, ,Euphyes bimacula,RL
Mastor reversa,Amblyscirtes reversa,Amblyscirtes reversa,RL
Hesperia metea, ,Hesperia metea,RL
Satyrium acadica, ,Satyrium acadica,RE
Problema byssus, ,Problema byssus,RL
Calephelis borealis, ,Calephelis borealis,RL
Boloria freija, ,Boloria freija,RL
Plebejus idas, ,Lycaeides idas,RE
Callophrys polios,Callophrys polia,Callophrys polios,RP
Mastor aesculapius,Amblyscirtes aesculapius,Amblyscirtes aesculapius,RL
Phyciodes batesii, ,Phyciodes batesii,RL
Poanes yehl, ,Poanes yehl,RL
Everes amyntula,Cupido amyntula,Everes amyntula,RL
Mastor carolina,Amblyscirtes carolina,Amblyscirtes carolina,RL
Oarisma garita, ,Oarisma garita,RL
Speyeria diana, ,Speyeria diana,RL
Lycaeides melissa,Plebejus melissa,Lycaeides melissa,RE
Strymon calanus, ,Strymon calanus,RE
Calephelis muticum, ,Calephelis mutica,RL
Erynnis persius, ,Erynnis persius,RL
Poanes aaroni, ,Poanes aaroni,RL
Boloria eunomia, ,Boloria eunomia,RL
Oeneis macounii, ,Oeneis macounii,RL
Erynnis funeralis, ,Erynnis funeralis,RL
Erynnis martialis, ,Erynnis martialis,RL
Celastrina serotina, ,Celastrina ladon,RP
Hesperia attalus, ,Hesperia attalus,RL
Hesperia meskei, ,Hesperia meskei,RL
Mitoura hesseli,Callophrys hesseli,Callophrys hesseli,RP
Icaricia saepiolus,Plebejus saepiolus,Plebejus saepiolus,RL
Euphyes pilatka, ,Euphyes pilatka,RL
Incisalia lanoraieensis,Callophrys lanoraieensis,Callophrys lanoraieensis,RP
Megathymus yuccae, ,Megathymus yuccae,RL
Papilio multicaudata, ,Papilio multicaudata,RP
Boloria chariclea, ,Boloria chariclea,RL
Boloria frigga, ,Boloria frigga,RL
Celastrina idella, ,Celastrina ladon,RP
Oeneis melissa, ,Oeneis melissa,RL
Fabricius epixanthe,Lycaena epixanthe,Lycaena epixanthe,RE
Fabricius dorcas,Lycaena dorcas,Lycaena dorcas,RE
Neonympha helicta, ,Neonympha areolata,RL
Atrytone arogos, ,Anatrytone arogos,RL
Thorybes confusis, ,Thorybes confusis,RL
Euchloe ausonides, ,Euchloe ausonides,RP
Pyrgus centaureae,Pyrgus centaureae,Pyrgus centaureae,RL
Euphyes berryi, ,Euphyes berryi,RL
Amblyscirtes belli, ,Amblyscirtes belli,RL
Leptotes cassius, ,Leptotes cassius,RP
Colias pelidne, ,Colias pelidne,RL
Oarisma poweshiek, ,Oarisma poweshiek,RL
Neonympha areolatus, ,Neonympha areolata,RL
